Pokemon,Number,Color,Habitat,Type,Generation,Description
Snorlax,143,black,mountain,Normal,generation-i,"black mountain normal - very lazy. just eats and sleeps. as its rotundbulk builds, it becomes steadily more slothful. will eat anything, even if the food happens to be alittle moldy. it never gets an upset stomach. what sounds like its cry may ac­ tually be itssnores or the rumblings of its hungry belly. its stomach's di­ gestive juices can dissolve any kindof poison. it can even eat things off the ground. this pokémon's stomach is so strong, eveneating moldy or rotten food will not affect it. snorlax’s typical day consists of nothing more than eating and sleeping. it is such a docile pokémon that thereare children who use its expansive belly as a place to play. snorlax’s typical day consists of nothing more than eating and sleeping. it is such a docile pokémon that there are children who use its big belly as a place to play. it is not satisfied unless it eats over 880 pounds of food every day. when it is done eating, it goes promptly to sleep. very lazy. just eats and sleeps. as its rotund bulk builds, it becomes steadily more slothful. its stomach can digest any kind of food, even if it happens to be moldy or rotten. it stops eating only to sleep. it doesn’t feel full unless it eats nearly 900 pounds a day. when its belly is full, it becomes too lethargic to even lift a finger, so it is safe to bounce on its belly. what sounds like its cry may actually be its snores or the rumblings of its hungry belly. its stomach’s digestive juices can dissolve any kind of poison. it can even eat things off the ground. snorlax’s typical day consists of nothing more than eating and sleeping. it is such a docile pokémon that there are children who use its expansive belly as a place to play. its stomach is said to be incomparably strong. even muk’s poison is nothing more than a hint of spice on snorlax’s tongue. it eats nearly 900 pounds of food every day. it starts nodding off while eating—and continues to eat even while it’s asleep. it doesn’t do anything other than eat and sleep. when prompted to make a serious effort, though, it apparently displays awesome power. it has no interest in anything other than eating. even if you climb up on its stomach while it’s napping, it doesn’t seem to mind at all! will eat anything, even if the food happens to be a little moldy. it never gets an upset stomach. this pokémon’s stomach is so strong, even eating moldy or rotten food will not affect it. this glutton appears in villages without warning and devours the entirety of their rice granaries—such occurrences have long been counted among the gravest of disasters."
Articuno,144,blue,rare,Ice Flying,generation-i,"blue rare ice flying - a legendary bird pokémon that is said to appear todoomed people who are lost in icy mountains. a legendary bird pokémon. it freezes waterthat is contained in winter air and makes it snow. the magnificent, seemingly translu­ cent wings of thislegendary bird pokémon are said to be made of ice. one of the legen­ dary bird pokémon, it chills moisturein the atmosphere to create snow while flying. legendary bird pokémon. as it flies through thesky, it cools the air, causing snow to fall. articuno is a legendary bird pokémon that can control ice. the flapping of its wings chills the air.as a result, it is said that when this pokémon flies, snow will fall. articuno is a legendary bird pokémon that can control ice. the flapping of its wings chills the air. as a result, it is said that when this pokémon flies, snow will fall. one of the legendary bird pokémon. with its long tail trailing behind, its flying form is magnificent. a legendary bird pokémon that is said to appear to doomed people who are lost in icy mountains. a legendary bird pokémon. it can create blizzards by freezing moisture in the air. the magnificent, seemingly translucent wings of this legendary bird pokémon are said to be made of ice. one of the legendary bird pokémon, it chills moisture in the atmosphere to create snow while flying. a legendary bird pokémon. it freezes water that is contained in winter air and makes it snow. it’s said that this pokémon’s beautiful blue wings are made of ice. articuno flies over snowy mountains, its long tail fluttering along behind it. this pokémon can control ice at will. articuno is said to live in snowy mountains riddled with permafrost."
Zapdos,145,yellow,rare,Electric Flying,generation-i,"yellow rare electric flying - a legendary bird pokémon that is said to appearfrom clouds while dropping enormous lightning bolts. this legendary bird pokémon is said to appearwhen the sky turns dark and lightning showers down. this legendary bird pokémon causes savagethunderstorms by flapping its glit­ tering wings. this legendary bird pokémon is said to appearonly when a thun­ dercloud parts into two halves. legendary bird pokémon. they say lightning causedby the flapping of its wings causes summer storms. zapdos is a legendary bird pokémon that has the ability to control electricity. it usually lives in thunderclouds.the pokémon gains power if it is stricken by lightning bolts. zapdos is a legendary bird pokémon that has the ability to control electricity. it usually lives in thunderclouds. it gains power if it is stricken by lightning bolts. one of the legendary bird pokémon. while it is flying, it makes crackling and snapping sounds. a legendary bird pokémon that is said to appear from clouds while dropping enormous lightning bolts. a legendary pokémon that is said to live in thunderclouds. it freely controls lightning bolts. this legendary bird pokémon causes savage thunderstorms by flapping its glittering wings. this legendary bird pokémon is said to appear only when a thundercloud parts into two halves. zapdos is a legendary bird pokémon that has the ability to control electricity. it usually lives in thunderclouds. the pokémon gains power if it is stricken by lightning bolts. this legendary bird pokémon is said to appear when the sky turns dark and lightning showers down. this pokémon has complete control over electricity. there are tales of zapdos nesting in the dark depths of pitch-black thunderclouds. zapdos is a legendary bird pokémon. it’s said that when zapdos rubs its feathers together, lightning will fall immediately after."
Moltres,146,yellow,rare,Fire Flying,generation-i,"yellow rare fire flying - known as the legendary bird of fire. every flapof its wings creates a dazzling flash of flames. a legendary bird pokémon. as it flaps its flamingwings, even the night sky will turn red. this legendary pokémon scatters embers with everyflap of its wings. it is a thrilling sight to behold. this legendary bird pokémon is said to bringearly spring to the wintry lands it visits. legendary bird pokémon. it is said to migratefrom the south along with the spring. moltres is a legendary bird pokémon that has the ability to control fire. if this pokémon is injured, it is said todip its body in the molten magma of a volcano to burn and heal itself. moltres is a legendary bird pokémon that can control fire. if injured, it is said to dip its body in the molten magma of a volcano to burn and heal itself. one of the legendary bird pokémon. those seeing it are overwhelmed by its orange wings that seem to be on fire. it is said to be the legendary bird pokémon of fire. every flap of its wings creates a dazzling flare of flames. one of the legendary bird pokémon. it is said that its appearance indicates the coming of spring. this legendary pokémon scatters embers with every flap of its wings. it is a thrilling sight to behold. this legendary bird pokémon is said to bring early spring to the wintry lands it visits. moltres is a legendary bird pokémon that has the ability to control fire. if this pokémon is injured, it is said to dip its body in the molten magma of a volcano to burn and heal itself. a legendary bird pokémon. as it flaps its flaming wings, even the night sky will turn red. it’s one of the legendary bird pokémon. when moltres flaps its flaming wings, they glimmer with a dazzling red glow. there are stories of this pokémon using its radiant, flame-cloaked wings to light up paths for those lost in the mountains."
Dratini,147,blue,waters-edge,Dragon,generation-i,"blue waters-edge dragon - long considered a mythical pokémon until recentlywhen a small colony was found living underwater. the existence of this mythical pokémon was onlyrecently confirmed by a fisherman who caught one. it is born large to start with. it repeatedly shedsits skin as it steadily grows longer. this pokémon is full of life ener­ gy. it continuallysheds its skin and grows steadily larger. it sheds many lay­ ers of skin as it grows larger. dur­ing this process, it is protected by a rapid waterfall. dratini continually molts and sloughs off its old skin. it does so because the life energywithin its body steadily builds to reach uncontrollable levels. a dratini continually molts and sloughs off its old skin. it does so because the life energy within its body steadily builds to reach uncontrollable levels. even the young can exceed 6.5 feet in length. it grows larger by repeatedly shedding skin. long considered a mythical pokémon until recently, when a small colony was found living underwater. it is called the “mirage pokémon” because so few have seen it. its shed skin has been found. it is born large to start with. it repeatedly sheds its skin as it steadily grows longer. this pokémon is full of life energy. it continually sheds its skin and grows steadily larger. dratini continually molts and sloughs off its old skin. it does so because the life energy within its body steadily builds to reach uncontrollable levels. it grows by molting repeatedly. boots made from the tanned cast-off skin are a super luxury item. after a 10-hour struggle, a fisherman was able to pull one up and confirm its existence. it’s still weak, so it lurks on the floor of bodies of water, eating whatever food sinks down and living a quiet life. it sheds its skin—almost on a daily basis—and grows larger. its skin is soft just after it’s been shed. long thought to be a myth, this pokémon’s existence was only recently confirmed by a fisherman who caught one. dratini dwells near bodies of rapidly flowing water, such as the plunge pools of waterfalls. as it grows, dratini will shed its skin many times. this pokémon was long considered to be no more than a myth. the small lump on a dratini’s forehead is actually a horn that’s still coming in."
Dragonair,148,blue,waters-edge,Dragon,generation-i,"blue waters-edge dragon - a mystical pokémon that exudes a gentle aura.has the ability to change climate conditions. according to a witness, its body was surrounded bya strange aura that gave it a mystical look. they say that if it emits an aura from its wholebody, the weather will begin to change instantly. its crystalline orbs appear to give this pokémonthe power to freely control the weather. it is called the divine pokémon. when its entirebody brightens slightly, the weather changes. dragonair stores an enormous amount of energy inside its body. it is said to alter weather conditionsin its vicinity by discharging energy from the crystals on its neck and tail. a dragonair stores an enormous amount of energy inside its body. it is said to alter the weather around it by loosing energy from the crystals on its neck and tail. it is said to live in seas and lakes. even though it has no wings, it has been seen flying occasionally. a mystical pokémon that exudes a gentle aura. it is said to have the ability to change the weather. if its body takes on an aura, the weather changes instantly. it is said to live in seas and lakes. they say that if it emits an aura from its whole body, the weather will begin to change instantly. its crystalline orbs appear to give this pokémon the power to freely control the weather. dragonair stores an enormous amount of energy inside its body. it is said to alter weather conditions in its vicinity by discharging energy from the crystals on its neck and tail. it has long been thought that its crystalline orbs are imbued with the power to control the weather. from time immemorial, it has been venerated by agricultural peoples as an entity able to control the weather. lakes where dragonair live are filled with offerings from people, because they believe this pokémon is able to control the weather. some say that if you see it at the start of the year, flying through the sky and twisting its body, you’ll be healthy all year long. according to a witness, its body was surrounded by a strange aura that gave it a mystical look. this pokémon lives in pristine oceans and lakes. it can control the weather, and it uses this power to fly into the sky, riding on the wind. this pokémon gathers power in the orbs on its tail and controls the weather. when enshrouded by an aura, dragonair has a mystical appearance."
Dragonite,149,brown,waters-edge,Dragon Flying,generation-i,"brown waters-edge dragon flying - an extremely rarely seen marine pokémon.its intelligence is said to match that of humans. it is said that this pokémon lives somewhere in thesea and that it flies. however, it is only a rumor. it is said that this pokémon con­ stantly flies overthe immense seas and rescues drown­ ing people. this marine poké­ mon has an impres­ sive build thatlets it freely fly over raging seas without trouble. it is said that somewhere in the ocean lies anisland where these gather. only they live there. dragonite is capable of circling the globe in just sixteen hours. it is a kindhearted pokémon that leadslost and foundering ships in a storm to the safety of land. it can circle the globe in just 16 hours. it is a kindhearted pokémon that leads lost and foundering ships in a storm to the safety of land. it can fly in spite of its big and bulky physique. it circles the globe in just 16 hours. only a very few people ever see this pokémon. its intelligence is said to match that of humans. it is said to make its home somewhere in the sea. it guides crews of shipwrecks to shore. it is said that this pokémon constantly flies over the immense seas and rescues drowning people. this marine pokémon has an impressive build that lets it freely fly over raging seas without trouble. dragonite is capable of circling the globe in just 16 hours. it is a kindhearted pokémon that leads lost and foundering ships in a storm to the safety of land. this pokémon saved a shipwrecked man, taking him to a remote island—a paradise occupied solely by dragonite. incur the wrath of this normally calm pokémon at your peril, because it will smash everything to smithereens before it’s satisfied. it flies over raging seas as if they were nothing. observing this, a ship’s captain dubbed this pokémon “the sea incarnate.” you’ll often hear tales of this kindhearted pokémon rescuing people or pokémon that are drowning. it is said that this pokémon lives somewhere in the sea and that it flies. however, these are only rumors. it’s a kindhearted pokémon. if it spots a drowning person or pokémon, dragonite simply must help them. this pokémon is known as the sea incarnate. figureheads that resemble dragonite decorate the bows of many ships."
Mewtwo,150,purple,rare,Psychic,generation-i,"purple rare psychic - it was created by a scientist after years of horrificgene splicing and dna engineering experiments. its dna is almost the same as mew's. however, its sizeand disposition are vastly dif­ ferent. because its battle abilities were raised to theultimate level, it thinks only of de­ feating its foes. it usually remains motionless to con­ serve energy, sothat it may un­ leash its full power in battle. said to rest qui­ etly in an undiscovered cave,this pokémon was created solely for battling. mewtwo is a pokémon that was created by genetic manipulation. however, even though the scientificpower of humans created this pokémon’s body, they failed to endow mewtwo with a compassionate heart. a pokémon that was created by genetic manipulation. however, even though the scientific power of humans made its body, they failed to give it a warm heart. a pokémon whose genetic code was repeatedly recombined for research. it turned vicious as a result. it was created by a scientist after years of horrific gene-splicing and dna- engineering experiments. a pokémon created by recombining mew’s genes. it’s said to have the most savage heart among pokémon. because its battle abilities were raised to the ultimate level, it thinks only of defeating its foes. it usually remains motionless to conserve energy, so that it may unleash its full power in battle. it was created by a scientist after years of horrific gene-splicing and dna-engineering experiments. mewtwo is a pokémon that was created by genetic manipulation. however, even though the scientific power of humans created this pokémon’s body, they failed to endow mewtwo with a compassionate heart. its dna is almost the same as mew’s. however, its size and disposition are vastly different."
Mew,151,pink,rare,Psychic,generation-i,"pink rare psychic - so rare that it is still said to be a mirage bymany experts. only a few people have seen it worldwide. when viewed through a micro­ scope, thispokémon's short, fine, delicate hair can be seen. apparently, it appears only to those people whoare pure of heart and have a strong desire to see it. its dna is said to contain the genet­ ic codes of allpokémon, so it can use all kinds of techniques. because it can learn any move, some people beganresearch to see if it is the ancestor of all pokémon. mew is said to possess the genetic composition of all pokémon. it is capable of making itself invisibleat will, so it entirely avoids notice even if it approaches people. a mew is said to possess the genes of all pokémon. it is capable of making itself invisible at will, so it entirely avoids notice even if it approaches people. a pokémon of south america that was thought to have been extinct. it is very intelligent and learns any move. so rare that it is still said to be a mirage by many experts. only a few people have seen it worldwide. because it can use all kinds of moves, many scientists believe mew to be the ancestor of pokémon. apparently, it appears only to those people who are pure of heart and have a strong desire to see it. its dna is said to contain the genetic codes of all pokémon, so it can use all kinds of techniques. mew is said to possess the genetic composition of all pokémon. it is capable of making itself invisible at will, so it entirely avoids notice even if it approaches people. when viewed through a microscope, this pokémon’s short, fine, delicate hair can be seen."
Chikorita,152,green,grassland,Grass,generation-ii,"green grassland grass - a sweet aroma gently wafts from the leaf on itshead. it is docile and loves to soak up the sun's rays. its pleasantly aromatic leaves have the abilityto check the hu­ midity and tem­ perature. it loves to bask in the sunlight. it uses the leafon its head to seek out warm places. in battle, chikorita waves its leaf around to keep the foe at bay. however, a sweet fragrance also waftsfrom the leaf, becalming the battling pokémon and creating a cozy, friendly atmosphere all around. it waves its leaf around to keep foes at bay. however, a sweet fragrance also wafts from the leaf, creating a friendly atmosphere that becalms the battlers. its pleasantly aromatic leaves have the ability to check the humidity and temperature. a sweet aroma gently wafts from the leaf on its head. it is docile and loves to soak up the sun’s rays. it uses the leaf on its head to determine the temperature and humidity. it loves to sunbathe. a sweet aroma gently wafts from the leaf on its head. it is docile and loves to soak up sunrays. its pleasantly aromatic leaf has the ability to check humidity and temperature. a sweet aroma gently wafts from the leaf on its head. it is docile and loves to soak up sun rays. in battle, chikorita waves its leaf around to keep the foe at bay. however, a sweet fragrance also wafts from the leaf, becalming the battling pokémon and creating a cozy, friendly atmosphere all around."
Bayleef,153,green,grassland,Grass,generation-ii,"green grassland grass - the scent of spices comes from around its neck.somehow, sniffing it makes you want to fight. a spicy aroma ema­ nates from around its neck. thearoma acts as a stimulant to re­ store health. the scent that wafts from the leaves on its neckcauses anyone who smells it to become energetic. bayleef’s neck is ringed by curled-up leaves. inside each tubular leaf is a small shoot of a tree.the fragrance of this shoot makes people peppy. a bayleef’s neck is ringed by curled-up leaves. inside each leaf is a small tree shoot. the fragrance of this shoot makes people peppy. a spicy aroma emanates from around its neck. the aroma acts as a stimulant to restore health. the scent of spices comes from around its neck. somehow, sniffing it makes you want to fight. the buds that ring its neck give off a spicy aroma that perks people up. bayleef’s neck is ringed by curled-up leaves. inside each tubular leaf is a small shoot of a tree. the fragrance of this shoot makes people peppy."
Meganium,154,green,grassland,Grass,generation-ii,"green grassland grass - the aroma that rises from its petals contains asubstance that calms aggressive feelings. meganium's breath has the power to revive dead grassand plants. it can make them healthy again. anyone who stands beside it becomes refreshed, just asif they were relaxing in a sunny forest. the fragrance of meganium’s flower soothes and calms emotions. in battle, this pokémon gives off moreof its becalming scent to blunt the foe’s fighting spirit. the fragrance of a meganium’s flower soothes and calms emotions. in battle, it gives off more of its becalming scent to blunt the foe’s fighting spirit. meganium’s breath has the power to revive dead grass and plants. it can make them healthy again. the aroma that rises from its petals contains a substance that calms aggressive feelings. its breath has the fantastic ability to revive dead plants and flowers. the fragrance of meganium’s flower soothes and calms emotions. in battle, this pokémon gives off more of its becalming scent to blunt the foe’s fighting spirit."
Cyndaquil,155,yellow,grassland,Fire,generation-ii,"yellow grassland fire - it has a timid nature. if it is startled, the flames on its back burn more vigorously. it is timid, and always curls it­ self up in a ball.if attacked, it flares up its back for protection. it usually stays hunched over. if it is angry orsurprised, it shoots flames out of its back. the fire that spouts from its back burns hottestwhen it is angry. the flaring flames intimidate foes. cyndaquil protects itself by flaring up the flames on its back. the flames are vigorous if the pokémonis angry. however, if it is tired, the flames splutter fitfully with incomplete combustion. it flares flames from its back to protect itself. the fire burns vigorously if the pokémon is angry. when it is tired, it sputters with incomplete combustion. it usually stays hunched over. if it is angry or surprised, it shoots flames out of its back. it is timid and always curls itself up in a ball. if attacked, it flares up its back for protection. it is timid, and always curls itself up in a ball. if attacked, it flares up its back for protection. cyndaquil protects itself by flaring up the flames on its back. the flames are vigorous if the pokémon is angry. however, if it is tired, the flames splutter fitfully with incomplete combustion. hails from the johto region. though usually curled into a ball due to its timid disposition, it harbors tremendous firepower."
Quilava,156,yellow,grassland,Fire,generation-ii,"yellow grassland fire - be careful if it turns its back during battle. itmeans that it will attack with the fire on its back. this pokémon is fully covered by nonflammable fur.it can withstand any kind of fire attack. before battle, it turns its back on its opponent todemonstrate how ferociously its fire blazes. quilava keeps its foes at bay with the intensity of its flames and gusts of superheated air.this pokémon applies its outstanding nimbleness to dodge attacks even while scorching the foe with flames. it intimidates foes with intense gusts of flames and superheated air. its quick nimbleness lets it dodge attacks even while scorching an enemy. this pokémon is fully covered by nonflammable fur. it can withstand any kind of fire attack. be careful if it turns its back during battle. it means that it will attack with the fire on its back. it intimidates foes with the heat of its flames. the fire burns more strongly when it readies to fight. before battle, it turns its back on its opponent to demonstrate how ferociously its fire blazes. quilava keeps its foes at bay with the intensity of its flames and gusts of superheated air. this pokémon applies its outstanding nimbleness to dodge attacks even while scorching the foe with flames. this creature's fur is most mysterious—it is wholly impervious to the burning touch of flame. should quilava turn its back to you, take heed! such a posture indicates a forthcoming attack."
Typhlosion,157,yellow,grassland,Fire,generation-ii,"yellow grassland fire - if its rage peaks, it becomes so hot that anything thattouches it will instantly go up in flames. it has a secret, devastating move. it rubs its blaz­ ing fur together to cause huge explosions. when heat from its body causes the air around it toshimmer, this is a sign that it is ready to battle. typhlosion obscures itself behind a shimmering heat haze that it creates using its intensely hot flames.this pokémon creates blazing explosive blasts that burn everything to cinders. it can hide behind a shimmering heat haze that it creates using its intense flames. typhlosion create blazing explosive blasts that burn everything to cinders. it has a secret, devastating move. it rubs its blazing fur together to cause huge explosions. if its rage peaks, it becomes so hot that anything that touches it will instantly go up in flames. it attacks using blasts of fire. it creates heat shimmers with intense fire to hide itself. typhlosion obscures itself behind a shimmering heat haze that it creates using its intensely hot flames. this pokémon creates blazing explosive blasts that burn everything to cinders. said to purify lost, forsaken souls with its flames and guide them to the afterlife. i believe its form has been influenced by the energy of the sacred mountain towering at hisui's center."
Totodile,158,blue,waters-edge,Water,generation-ii,"blue waters-edge water - its well-developed jaws are powerful and capable ofcrushing anything. even its trainer must be careful. it is small but rough and tough. it won't hesitateto take a bite out of anything that moves. this rough critter chomps at any moving object itsees. turning your back on it is not recommended. despite the smallness of its body, totodile’s jaws are very powerful. while the pokémon may think it is justplayfully nipping, its bite has enough power to cause serious injury. despite its small body, totodile’s jaws are very powerful. while it may think it is just playfully nipping, its bite has enough strength to cause serious injury. it is small but rough and tough. it won’t hesitate to take a bite out of anything that moves. its well-developed jaws are powerful and capable of crushing anything. even its trainer must be careful. it has the habit of biting anything with its developed jaws. even its trainer needs to be careful. its powerful, well-developed jaws are capable of crushing anything. even its trainer must be careful. despite the smallness of its body, totodile’s jaws are very powerful. while the pokémon may think it is just playfully nipping, its bite has enough power to cause serious injury."
Croconaw,159,blue,waters-edge,Water,generation-ii,"blue waters-edge water - if it loses a fang, a new one grows back in itsplace. there are always 48 fangs lining its mouth. it opens its huge jaws wide when attacking. if itloses any fangs while biting, they grow back in. the tips of its fangs are slanted backward. oncethose fangs clamp down, the prey has no hope of escape. once croconaw has clamped its jaws on its foe, it will absolutely not let go. because the tips of its fangs areforked back like barbed fishhooks, they become impossible to remove when  they have sunk in. once its jaws clamp down on its foe, it will absolutely not let go. because the tips of its fangs are forked back like fishhooks, they become irremovably embedded. it opens its huge jaws wide when attacking. if it loses any fangs while biting, they grow back in. if it loses a fang, a new one grows back in its place. there are always 48 fangs lining its mouth. once it bites down, it won’t let go until it loses its fangs. new fangs quickly grow into place. once croconaw has clamped its jaws on its foe, it will absolutely not let go. because the tips of its fangs are forked back like barbed fishhooks, they become impossible to remove when they have sunk in."
Feraligatr,160,blue,waters-edge,Water,generation-ii,"blue waters-edge water - when it bites with its massive and powerful jaws, itshakes its head and savagely tears its victim up. it is hard for it to support its own weight out ofwater, so it gets down on all fours. but it moves fast. although it has a massive body, its powerful hind legsenable it to move quickly, even on the ground. feraligatr intimidates its foes by opening its huge mouth. in battle, it will kick the ground hardwith its thick and powerful hind legs to charge at the foe at an incredible speed. it opens its huge mouth to intimidate enemies. in battle, it runs using its thick and powerful hind legs to charge the foe with incredible speed. it is hard for it to support its own weight out of water, so it gets down on all fours. but it moves fast. when it bites with its massive and powerful jaws, it shakes its head and savagely tears up its victim. it usually moves slowly, but it goes at blinding speed when it attacks and bites prey. when it bites with its massive and powerful jaws, it shakes its head and savagely tears its victim up. it is hard for it to support its weight out of water, so it sometimes gets down on all fours. but it moves fast. feraligatr intimidates its foes by opening its huge mouth. in battle, it will kick the ground hard with its thick and powerful hind legs to charge at the foe at an incredible speed."
Sentret,161,brown,grassland,Normal,generation-ii,"brown grassland normal - a very cautious pokémon, it raises itself up usingits tail to get a better view of its surroundings. it stands on its tail so it can see a long way. if itspots an enemy, it cries loudly to warn its kind. when acting as a lookout, it warns others of dangerby screeching and hitting the ground with its tail. when sentret sleeps, it does so while another stands guard. the sentry wakes the others at the first sign of danger.when this pokémon becomes separated from its pack, it becomes incapable of sleep due to fear. they take turns standing guard when it is time to sleep. the sentry awakens the others if it senses danger. if one becomes separated, it turns sleepless with fear. it stands on its tail so it can see a long way. if it spots an enemy, it cries loudly to warn its kind. a very cautious pokémon, it raises itself up using its tail to get a better view of its surroundings. it has a very nervous nature. it stands up high on its tail so it can scan wide areas. when acting as a lookout, it warns others of danger by screeching and hitting the ground with its tail. when sentret sleeps, it does so while another stands guard. the sentry wakes the others at the first sign of danger. when this pokémon becomes separated from its pack, it becomes incapable of sleep due to fear."
Furret,162,brown,grassland,Normal,generation-ii,"brown grassland normal - it makes a nest to suit its long and skinny body. thenest is impossible for other pokémon to enter. there is no tell­ ing where the tail begins. despiteits short legs, it is quick at hunt­ ing rattata. it lives in narrow burrows that fit its slim body. thedeeper the nests go, the more maze­ like they become. furret has a very slim build. when under attack, it can slickly squirm through narrow spaces and get away.in spite of its short limbs, this pokémon is very nimble and fleet. a furret has a very slim build. when under attack, it can squirm through narrow spaces and get away. in spite of its short limbs, it is very nimble and fleet. there is no telling where its tail begins. despite its short legs, it is quick at hunting rattata. it makes a nest to suit its long and skinny body. the nest is impossible for other pokémon to enter. the mother puts its offspring to sleep by curling up around them. it corners foes with speed. there is no telling where the tail begins. despite its short legs, it is quick and likes to chase rattata. furret has a very slim build. when under attack, it can slickly squirm through narrow spaces and get away. in spite of its short limbs, this pokémon is very nimble and fleet."
Hoothoot,163,brown,forest,Normal Flying,generation-ii,"brown forest normal flying - it always stands on one foot. it changes feet sofast, the movement can rarely be seen. it has a perfect sense of time. whatever happens,it keeps rhythm by precisely tilting its head in time. it begins to hoot at the same time every day. sometrainers use them in place of clocks. hoothoot has an internal organ that senses and tracks the earth’s rotation. using this special organ, this pokémonbegins hooting at precisely the same time every day. it has an internal organ that senses the earth’s rotation. using this special organ, a hoothoot begins hooting at precisely the same time every day. it has a perfect sense of time. whatever happens, it keeps rhythm by precisely tilting its head in time. it always stands on one foot. it changes feet so fast, the movement can rarely be seen. it always stands on one foot. even when attacked, it does not brace itself using both feet. it switches its standing foot so quickly, it can’t be seen. it cries at the same time every day. it marks time precisely. some countries consider it to be a wise friend, versed in the world’s ways. hoothoot has an internal organ that senses and tracks the earth’s rotation. using this special organ, this pokémon begins hooting at precisely the same time every day. every day, it tilts its head in the same rhythm. a long time ago, people raised these pokémon to serve as clocks. it cries out at the same time every day. a long time ago, people cherished it and considered it a divine messenger sent to tell the time. it begins to hoot at the same time every day. some trainers use them in place of clocks."
Noctowl,164,brown,forest,Normal Flying,generation-ii,"brown forest normal flying - its eyes are specially adapted. they concentrateeven faint light and enable it to see in the dark. when it needs to think, it rotates its head 180 de­grees to sharpen its intellectual power. its extremely soft feathers make no sound in flight.it silently sneaks up on prey without being detected. noctowl never fails at catching prey in darkness. this pokémon owes its success to its superior vision thatallows it to see in minimal light, and to its soft,  supple wings that make no sound in flight. it unfailingly catches prey in darkness. noctowl owe their success to superior vision that allows them to see in minimal light, and to their supple and silent wings. when it needs to think, it rotates its head 180 degrees to sharpen its intellectual power. its eyes are specially adapted. they concentrate even faint light and enable it to see in the dark. its eyes are special. they can pick out objects as long as there is the tiniest amount of light. if it flips its head upside down, it’s a sign that it is engaged in very complex thinking. its eyes are specially developed to enable it to see clearly even in murky darkness and minimal light. noctowl never fails at catching prey in darkness. this pokémon owes its success to its superior vision that allows it to see in minimal light, and to its soft, supple wings that make no sound in flight. with eyes that can see in pitch-darkness, it never lets its prey escape. some even call it “the emperor of dark nights.” when it turns its head entirely upside down, you know it’s troubled by something. if you don’t leave it be, it will peck you."
Ledyba,165,red,forest,Bug Flying,generation-ii,"red forest bug flying - it is very timid. it will be afraid to move if it isalone. but it will be active if it is in a group. when the weather turns cold, lots of ledyba gatherfrom everywhere to cluster and keep each other warm. it is timid and clusters together with others. thefluid secreted by its feet indicates its location. ledyba secretes an aromatic fluid from where its legs join its body. this fluid is used for communicating with others.this pokémon conveys its feelings to others by altering the fluid’s scent. ledyba communicate using a fluid that they secrete from where the legs join the body. they are said to convey feelings to others by altering the fluid’s scent. when the weather turns cold, numerous ledyba gather from everywhere to cluster and keep each other warm. it is very timid. it will be afraid to move if it is alone. but it will be active if it is in a group. it is so timid, it can’t move if it isn’t with a swarm of others. it conveys its feelings with scent. when the weather turns cold, lots of ledyba gather from everywhere to cluster and keep each other warm. it is timid and clusters together with others. the fluid secreted by its feet indicates its location. ledyba secretes an aromatic fluid from where its legs join its body. this fluid is used for communicating with others. this pokémon conveys its feelings to others by altering the fluid’s scent. they are timid and grow uneasy when not in a swarm with others of their kind. the pattern on their backs differs slightly from one to another. they communicate with one another using bodily fluids that give off odors. when they’re angry, their odor smells sour. this pokémon is very sensitive to cold. in the warmth of alola, it appears quite lively. these very cowardly pokémon join together and use reflect to protect their nest."
Ledian,166,red,forest,Bug Flying,generation-ii,"red forest bug flying - when the stars flicker in the night sky, itflutters about, scattering a glowing powder. the star patterns on its back grow larger or smallerdepending on the number of stars in the night sky. in the daytime when it gets warm, it curls up insidea big leaf and drifts off into a deep slumber. it is said that in lands with clean air, where the stars fill the sky, there live ledian in countless numbers.there is a good reason for this - the pokémon uses the light of the stars as its energy. it is said that in lands with clean air, where the stars fill the sky, there live many ledian. for good reason, they use the light of the stars as energy. the star patterns on its back grow larger or smaller depending on the number of stars in the night sky. when the stars flicker in the night sky, it flutters about, scattering a glowing powder. it uses starlight as energy. when more stars appear at night, the patterns on its back grow larger. the spot patterns on its back grow larger or smaller depending on the number of stars in the night sky. it is said that in lands with clean air, where the stars fill the sky, there live ledian in countless numbers. there is a good reason for this—the pokémon uses the light of the stars as its energy. while it’s believed that starlight provides it with energy, this pokémon also loves to eat berries. in the daytime, it curls up in the grass to sleep. in battle, it throws punches with all four arms. the power of each individual blow is piddly, so it aims to win by quantity rather than quality. it’s said that the patterns on its back are related to the stars in the night sky, but the details of that relationship remain unclear. it flies through the night sky, sprinkling sparkly dust. according to some, if that dust sticks to you, good things will happen to you."
